douban_score,publisher,douban_votes,name,authors
8.7, 新星出版社,2808,第七重解答,"[法]
            保罗·霍尔特"
7.7, 上海译文出版社,15453,且听风吟,"[日]
            村上春树"
8.5, 译林出版社,9294,大教堂,"[美]
            雷蒙德·卡佛"
9.4, 万卷出版公司,18905,1984,"[英]
            乔治·奥威尔"
7.7, 安徽文艺出版社,16274,鬼吹灯Ⅱ之一·黄皮子坟,天下霸唱
7.8, 四川文艺出版社,185,杨天乐买房记,
, 江苏凤凰文艺出版社,,蜜桃味热恋,
7.9, 浙江文艺出版社,249,种玫瑰的男人,
9.3, 江苏文艺出版社,3781,1984,"[英]
            乔治·奥威尔"
7.9, 人民文学出版社,3424,钟鼓楼,茅盾文学奖获奖作品全集
9.4, 中国电影出版社,4038,福尔摩斯探案全集,"[英]
            阿瑟·柯南道尔"
7.4, 湖南文艺出版社,40932,乖，摸摸头,博集天卷
8.2, 上海译文出版社,479,漫长的告别,雷蒙德·钱德勒作品
8.0, 上海文化出版社,18255,盗墓笔记8·大结局（上）,南派三叔
8.0, 新星出版社,3235,青蛇,李碧华
8.3, 北京出版社,3256,人类群星闪耀时,"[奥地利]
            斯蒂芬·茨威格"
8.6, 陕西师范大学出版总社,1524,美丽新世界,"[英]
            阿道司·赫胥黎"
8.4, 译林出版社,1076,查泰莱夫人的情人,"[英]
            D·H·劳伦斯"
9.1, 云南人民出版社,2985,罗生门,
8.0, 安徽文艺出版社,11441,鬼吹灯Ⅱ之四巫峡棺山,天下霸唱
8.5, 黄山书社,5234,未央歌,鹿桥
8.4, 北京十月文艺出版社,2400,怨女,张爱玲
9.1, 天津人民出版社,2079,不成问题的问题,果麦文化
7.8, 四川文艺出版社,2188,龙头凤尾,马家辉
6.8, 南海出版公司,656,学生街的日子,新经典文化
8.9, 人民文学出版社,15737,白鹿原,陈忠实
8.5, 后浪丨四川人民出版社,80,水门的洞口,后浪
8.1, 上海译文出版社,3462,白夜,"[俄]
            费奥多尔·陀思妥耶夫斯基"
8.1, 北京联合出版公司,3331,清明上河图密码 2,冶文彪
